id,state,count,zip,project,xlong,ylat
3119490,OK,Ellis,40045,25 Mile Creek,-99.741096,36.423683
3124158,OK,Ellis,40045,25 Mile Creek,-99.796494,36.503357
3123358,OK,Ellis,40045,25 Mile Creek,-99.741119,36.50259
3123761,OK,Ellis,40045,25 Mile Creek,-99.771027,36.456665
3124023,OK,Ellis,40045,25 Mile Creek,-99.775742,36.445465
3124077,OK,Ellis,40045,25 Mile Creek,-99.782089,36.473541
3123630,OK,Ellis,40045,25 Mile Creek,-99.778603,36.502522
3123802,OK,Ellis,40045,25 Mile Creek,-99.776512,36.429882
3124014,OK,Ellis,40045,25 Mile Creek,-99.752739,36.504105
3123210,OK,Ellis,40045,25 Mile Creek,-99.74147,36.451477
3123814,OK,Ellis,40045,25 Mile Creek,-99.758476,36.444984
3123225,OK,Ellis,40045,25 Mile Creek,-99.809586,36.495914
3123541,OK,Ellis,40045,25 Mile Creek,-99.810005,36.476582
3123484,OK,Ellis,40045,25 Mile Creek,-99.799377,36.440704
3123740,OK,Ellis,40045,25 Mile Creek,-99.750793,36.488712
3123185,OK,Ellis,40045,25 Mile Creek,-99.821129,36.517494
3123876,OK,Ellis,40045,25 Mile Creek,-99.746208,36.427345
3124020,OK,Ellis,40045,25 Mile Creek,-99.744316,36.513348
3123860,OK,Ellis,40045,25 Mile Creek,-99.764076,36.440956
3123851,OK,Ellis,40045,25 Mile Creek,-99.826469,36.515972
3119868,OK,Ellis,40045,25 Mile Creek,-99.735718,36.423359
3123797,OK,Ellis,40045,25 Mile Creek,-99.761673,36.502792
3123467,OK,Ellis,40045,25 Mile Creek,-99.814697,36.48975
3119095,OK,Ellis,40045,25 Mile Creek,-99.720284,36.424934
3123580,OK,Ellis,40045,25 Mile Creek,-99.790665,36.44141
3123544,OK,Ellis,40045,25 Mile Creek,-99.725624,36.437126
3123385,OK,Ellis,40045,25 Mile Creek,-99.781944,36.433651
3123616,OK,Ellis,40045,25 Mile Creek,-99.733009,36.489468
3123765,OK,Ellis,40045,25 Mile Creek,-99.80706,36.513935
3123202,OK,Ellis,40045,25 Mile Creek,-99.782372,36.484463
3123386,OK,Ellis,40045,25 Mile Creek,-99.745461,36.448009
3123493,OK,Ellis,40045,25 Mile Creek,-99.756958,36.491249
3123887,OK,Ellis,40045,25 Mile Creek,-99.769722,36.444931
3123308,OK,Ellis,40045,25 Mile Creek,-99.79464,36.438831
3118873,OK,Ellis,40045,25 Mile Creek,-99.724144,36.421703
3124001,OK,Ellis,40045,25 Mile Creek,-99.772133,36.431931
3124019,OK,Ellis,40045,25 Mile Creek,-99.786308,36.44593
3123233,OK,Ellis,40045,25 Mile Creek,-99.775963,36.458096
3123651,OK,Ellis,40045,25 Mile Creek,-99.804855,36.476624
3119588,OK,Ellis,40045,25 Mile Creek,-99.714928,36.424843
3123609,OK,Ellis,40045,25 Mile Creek,-99.751343,36.446674
3123319,OK,Ellis,40045,25 Mile Creek,-99.740372,36.489838
3123452,OK,Ellis,40045,25 Mile Creek,-99.70752,36.490849
3123985,OK,Ellis,40045,25 Mile Creek,-99.787033,36.501724
3123340,OK,Ellis,40045,25 Mile Creek,-99.733086,36.451591
3123397,OK,Ellis,40045,25 Mile Creek,-99.737022,36.435909
3123190,OK,Ellis,40045,25 Mile Creek,-99.792625,36.474033
3124060,OK,Ellis,40045,25 Mile Creek,-99.742203,36.432888
3123551,OK,Ellis,40045,25 Mile Creek,-99.731606,36.44109
3123519,OK,Ellis,40045,25 Mile Creek,-99.724426,36.491375
3123553,OK,Ellis,40045,25 Mile Creek,-99.752548,36.428902
3123321,OK,Ellis,40045,25 Mile Creek,-99.762489,36.454903
3124039,OK,Ellis,40045,25 Mile Creek,-99.788475,36.476807
3123278,OK,Ellis,40045,25 Mile Creek,-99.760849,36.429668
3124003,OK,Ellis,40045,25 Mile Creek,-99.776581,36.485386
3123504,OK,Ellis,40045,25 Mile Creek,-99.737236,36.498882
3123398,OK,Ellis,40045,25 Mile Creek,-99.720001,36.489346
3123391,OK,Ellis,40045,25 Mile Creek,-99.812325,36.513859
3123283,OK,Ellis,40045,25 Mile Creek,-99.762627,36.515823
3124041,OK,Ellis,40045,25 Mile Creek,-99.714981,36.490211
3072695,CA,Kern,06029,251 Wind,-118.36441,35.077435
3072661,CA,Kern,06029,251 Wind,-118.363762,35.077908
3072704,CA,Kern,06029,251 Wind,-118.364197,35.077644
3053390,IA,Boone,19015,30 MW Iowa DG Portfolio,-93.700424,41.977608
3049502,IA,Story,19169,30 MW Iowa DG Portfolio,-93.518082,42.01363
3063321,IA,Hardin,19083,30 MW Iowa DG Portfolio,-93.367798,42.49794
3060912,IA,Story,19169,30 MW Iowa DG Portfolio,-93.51371,42.019119
3049500,IA,Story,19169,30 MW Iowa DG Portfolio,-93.515892,42.016373
3057059,IA,Story,19169,30 MW Iowa DG Portfolio,-93.623009,41.88147
3063272,IA,Story,19169,30 MW Iowa DG Portfolio,-93.430367,42.028233
3049504,IA,Poweshiek,19157,30 MW Iowa DG Portfolio,-92.672089,41.742046
3049503,IA,Story,19169,30 MW Iowa DG Portfolio,-93.523651,42.006813
3063269,IA,Story,19169,30 MW Iowa DG Portfolio,-93.632835,41.882477
3046262,MA,Barnstable,25001,6th Space Warning Squadron,-70.541801,41.752491
3046335,MA,Barnstable,25001,6th Space Warning Squadron,-70.545303,41.754192
3039278,MA,Barnstable,25001,AFCEE MMR Turbines,-70.547798,41.75959
3039277,MA,Barnstable,25001,AFCEE MMR Turbines,-70.545303,41.757591
3035472,IA,Story,19169,AG Land 1,-93.325691,42.20639
3038256,IA,Story,19169,AG Land 2,-93.428093,42.146091
3038255,IA,Story,19169,AG Land 3,-93.431992,42.145592
3038257,IA,Story,19169,AG Land 4,-93.354897,41.904194
3037763,IA,Hamilton,19079,AG Land 5,-93.632095,42.335491
3037762,IA,Hamilton,19079,AG Land 6,-93.636795,42.335491
3014725,OH,Wood,39173,AMP-Ohio/Green Mountain Energy Wind Farm,-83.736298,41.384693
3014014,OH,Wood,39173,AMP-Ohio/Green Mountain Energy Wind Farm,-83.736298,41.382492
3025876,IA,Adair,19001,Adair,-94.647491,41.443691
3025849,IA,Adair,19001,Adair,-94.695595,41.445194
3025811,IA,Adair,19001,Adair,-94.666992,41.482494
3025842,IA,Cass,19029,Adair,-94.730293,41.442394
3025877,IA,Adair,19001,Adair,-94.677391,41.463093
3025862,IA,Adair,19001,Adair,-94.692696,41.434994
3025857,IA,Adair,19001,Adair,-94.665192,41.452293
3025869,IA,Adair,19001,Adair,-94.670593,41.423992
3025859,IA,Adair,19001,Adair,-94.614189,41.441395
3025863,IA,Adair,19001,Adair,-94.688995,41.435894
3025841,IA,Adair,19001,Adair,-94.611893,41.452892
3025814,IA,Adair,19001,Adair,-94.612091,41.478592
3025868,IA,Adair,19001,Adair,-94.674889,41.423492
3025818,IA,Cass,19029,Adair,-94.704094,41.471092
3025872,IA,Adair,19001,Adair,-94.655891,41.421394
3025855,IA,Adair,19001,Adair,-94.634491,41.439693
3025851,IA,Adair,19001,Adair,-94.687691,41.445091
3025828,IA,Adair,19001,Adair,-94.618591,41.466793
3025846,IA,Cass,19029,Adair,-94.711792,41.441292
3025848,IA,Adair,19001,Adair,-94.622093,41.441994
3025832,IA,Adair,19001,Adair,-94.695091,41.457893
3098099,IA,Adair,19001,Adair,-94.683502,41.433804
3025835,IA,Adair,19001,Adair,-94.659866,41.457573
3025840,IA,Adair,19001,Adair,-94.615791,41.452694
3025845,IA,Cass,19029,Adair,-94.715591,41.441792
3025856,IA,Adair,19001,Adair,-94.630692,41.439194
3025816,IA,Cass,19029,Adair,-94.71209,41.468391
3025824,IA,Adair,19001,Adair,-94.659096,41.466694
3025861,IA,Adair,19001,Adair,-94.606728,41.441357
3025807,IA,Adair,19001,Adair,-94.673988,41.494892
3025806,IA,Adair,19001,Adair,-94.68869,41.499294
3025839,IA,Adair,19001,Adair,-94.619591,41.451992
3025826,IA,Adair,19001,Adair,-94.647896,41.465393
3025860,IA,Adair,19001,Adair,-94.61039,41.441395
3025836,IA,Adair,19001,Adair,-94.655891,41.457294
3025817,IA,Cass,19029,Adair,-94.707893,41.470394
3025875,IA,Cass,19029,Adair,-94.723892,41.463192
3025858,IA,Adair,19001,Adair,-94.618294,41.441593
3025825,IA,Adair,19001,Adair,-94.655289,41.466293
3025809,IA,Adair,19001,Adair,-94.68869,41.486591
3025819,IA,Adair,19001,Adair,-94.689392,41.470192
3025830,IA,Adair,19001,Adair,-94.635391,41.449795
3025808,IA,Adair,19001,Adair,-94.67009,41.495193
3025833,IA,Adair,19001,Adair,-94.676788,41.452393
3025823,IA,Adair,19001,Adair,-94.665695,41.470993
3025827,IA,Adair,19001,Adair,-94.62249,41.466595
3025865,IA,Adair,19001,Adair,-94.670395,41.434994
3025831,IA,Adair,19001,Adair,-94.69899,41.457794
3025844,IA,Cass,19029,Adair,-94.722794,41.443394
3025804,IA,Adair,19001,Adair,-94.696693,41.499092
3025870,IA,Adair,19001,Adair,-94.665092,41.423695
3025873,IA,Adair,19001,Adair,-94.65139,41.421494
3025813,IA,Adair,19001,Adair,-94.626991,41.481194
3025843,IA,Cass,19029,Adair,-94.726593,41.442894
3025812,IA,Adair,19001,Adair,-94.630989,41.481194
3025838,IA,Adair,19001,Adair,-94.648689,41.455395
3025834,IA,Adair,19001,Adair,-94.669289,41.452293
3025867,IA,Adair,19001,Adair,-94.658493,41.433193
3025810,IA,Adair,19001,Adair,-94.683395,41.484993
3025850,IA,Adair,19001,Adair,-94.691689,41.445091
3025805,IA,Adair,19001,Adair,-94.692795,41.499294
3025847,IA,Cass,19029,Adair,-94.706894,41.440792
3025829,IA,Adair,19001,Adair,-94.613396,41.467094
3025874,IA,Cass,19029,Adair,-94.703896,41.499695
3025871,IA,Adair,19001,Adair,-94.660995,41.421093
3025852,IA,Adair,19001,Adair,-94.68409,41.443592
3025821,IA,Adair,19001,Adair,-94.681793,41.471592
3025837,IA,Adair,19001,Adair,-94.652596,41.455894
3025822,IA,Adair,19001,Adair,-94.676994,41.473293
3025878,IA,Adair,19001,Adair,-94.673492,41.463093
3025866,IA,Adair,19001,Adair,-94.654495,41.432995
3025854,IA,Adair,19001,Adair,-94.63839,41.439693
3025815,IA,Cass,19029,Adair,-94.716591,41.469791
3025864,IA,Adair,19001,Adair,-94.674194,41.434193
3025820,IA,Adair,19001,Adair,-94.685692,41.471092
3025853,IA,Adair,19001,Adair,-94.678894,41.443993
3049497,IA,Adams,19003,Adams,-94.671776,40.91991
3053007,IA,Adams,19003,Adams,-94.678551,40.951794
3052764,IA,Adams,19003,Adams,-94.684853,40.925648
3049549,IA,Adams,19003,Adams,-94.647606,40.912476
3053133,IA,Adams,19003,Adams,-94.697464,40.908005
3052660,IA,Adams,19003,Adams,-94.728653,40.905937
3049548,IA,Adams,19003,Adams,-94.70916,40.929955
3053130,IA,Adams,19003,Adams,-94.653526,40.960594
3052661,IA,Adams,19003,Adams,-94.732185,40.917294
3052511,IA,Adams,19003,Adams,-94.657524,40.913597
3052486,IA,Adams,19003,Adams,-94.615784,40.906044
3052479,IA,Adams,19003,Adams,-94.634834,40.90395
3052982,IA,Adams,19003,Adams,-94.675087,40.938133
3053402,IA,Adams,19003,Adams,-94.66095,40.906422
3053244,IA,Adams,19003,Adams,-94.666534,40.912037
3052863,IA,Adams,19003,Adams,-94.695923,40.901394
3052662,IA,Adams,19003,Adams,-94.728088,40.916672
3052668,IA,Adams,19003,Adams,-94.72422,40.91663
3052686,IA,Adams,19003,Adams,-94.716339,40.92387
3053224,IA,Adams,19003,Adams,-94.639961,40.918289
3053238,IA,Adams,19003,Adams,-94.63047,40.912823
3052983,IA,Adams,19003,Adams,-94.734169,40.903179
3053242,IA,Adams,19003,Adams,-94.662544,40.91256
3053681,IA,Adams,19003,Adams,-94.640137,40.903938
3053222,IA,Adams,19003,Adams,-94.693748,40.927402
3053414,IA,Adams,19003,Adams,-94.65696,40.905529
3052559,IA,Adams,19003,Adams,-94.646027,40.917538
3053419,IA,Adams,19003,Adams,-94.648247,40.903282
3053001,IA,Adams,19003,Adams,-94.705017,40.916325
3053005,IA,Adams,19003,Adams,-94.664101,40.952431
3052647,IA,Adams,19003,Adams,-94.667892,40.919884
3052687,IA,Adams,19003,Adams,-94.712463,40.923447
3052908,IA,Adams,19003,Adams,-94.659653,40.925396
3052993,IA,Adams,19003,Adams,-94.716476,40.913757
3052689,IA,Adams,19003,Adams,-94.713112,40.929382
3053003,IA,Adams,19003,Adams,-94.725616,40.925251
3053191,IA,Adams,19003,Adams,-94.697762,40.927402
3052485,IA,Adams,19003,Adams,-94.619675,40.905975
3052953,IA,Adams,19003,Adams,-94.68663,40.934555
3052514,IA,Adams,19003,Adams,-94.634842,40.919724
3052864,IA,Adams,19003,Adams,-94.664482,40.9258
3053139,IA,Adams,19003,Adams,-94.656937,40.936432
3053423,IA,Adams,19003,Adams,-94.693481,40.912636
3052952,IA,Adams,19003,Adams,-94.675438,40.933098
3052920,IA,Adams,19003,Adams,-94.664093,40.931583
3053006,IA,Adams,19003,Adams,-94.649178,40.947777
3053513,IA,Adams,19003,Adams,-94.65287,40.903233
3053002,IA,Adams,19003,Adams,-94.692009,40.902283
3053146,IA,Adams,19003,Adams,-94.652222,40.935997
3052618,IA,Adams,19003,Adams,-94.649925,40.917538
3053008,IA,Adams,19003,Adams,-94.673912,40.955795
3052658,IA,Adams,19003,Adams,-94.665192,40.902493
3053226,IA,Adams,19003,Adams,-94.616638,40.913837
3053241,IA,Adams,19003,Adams,-94.686043,40.907246
3053237,IA,Adams,19003,Adams,-94.625618,40.912842
3052494,IA,Adams,19003,Adams,-94.635033,40.914024
3053231,IA,Adams,19003,Adams,-94.653526,40.913605
3052996,IA,Adams,19003,Adams,-94.712288,40.912891
3053106,IA,Adams,19003,Adams,-94.656776,40.95903
3053046,IA,Adams,19003,Adams,-94.668625,40.956329
3053004,IA,Adams,19003,Adams,-94.721962,40.927204
3052690,IA,Adams,19003,Adams,-94.68866,40.930119
3052478,IA,Adams,19003,Adams,-94.669571,40.902508
3052659,IA,Adams,19003,Adams,-94.724846,40.906811
3034117,MN,Meeker,27093,"Adams Wind Generations, LLC",-94.731689,44.916992
3034119,MN,Meeker,27093,"Adams Wind Generations, LLC",-94.72319,44.916992
3046404,MN,Meeker,27093,"Adams Wind Generations, LLC",-94.735695,44.916992
3034122,MN,Meeker,27093,"Adams Wind Generations, LLC",-94.710396,44.916992
3034121,MN,Meeker,27093,"Adams Wind Generations, LLC",-94.71479,44.916992
3034120,MN,Meeker,27093,"Adams Wind Generations, LLC",-94.718994,44.916691
3034123,MN,Meeker,27093,"Adams Wind Generations, LLC",-94.735695,44.912594
3034124,MN,Meeker,27093,"Adams Wind Generations, LLC",-94.732491,44.912594
3034126,MN,Meeker,27093,"Adams Wind Generations, LLC",-94.715195,44.911694
3034127,MN,Meeker,27093,"Adams Wind Generations, LLC",-94.711288,44.911694
3034125,MN,Meeker,27093,"Adams Wind Generations, LLC",-94.729294,44.912594
3034118,MN,Meeker,27093,"Adams Wind Generations, LLC",-94.727394,44.916992
3011790,MN,Clay,27027,Agassiz Beach,-96.435493,47.005192
3074568,MN,Clay,27027,Agassiz Beach,-96.427513,47.005146
3011791,MN,Clay,27027,Agassiz Beach,-96.435493,46.999592
3022061,IL,Bureau,17011,Agriwind,-89.618896,41.297791
3022060,IL,Bureau,17011,Agriwind,-89.623596,41.301693
3022062,IL,Bureau,17011,Agriwind,-89.619392,41.302994
3022063,IL,Bureau,17011,Agriwind,-89.614494,41.300793
3015466,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.877426,42.460644
3015346,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.900894,42.453094
3015357,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.948494,42.473392
3015360,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.913094,42.455193
3015364,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.924194,42.458591
3015356,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.946594,42.471394
3015362,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.918488,42.456692
3015333,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.874878,42.459457
3015336,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.89006,42.461864
3015363,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.921188,42.457993
3015338,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.892891,42.450191
3015359,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.91069,42.453094
3015361,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.915894,42.455593
3015354,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.941193,42.469292
3015342,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.926491,42.444492
3015352,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.921791,42.474491
3015348,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.910561,42.475048
3015351,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.918793,42.475193
3015341,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.895187,42.443192
3015344,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.931892,42.447094
3015366,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.928093,42.461792
3015358,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.95079,42.474995
3015347,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.907089,42.474892
3015355,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.943687,42.470493
3015335,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.886993,42.461494
3015367,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.934288,42.447792
3015350,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.915894,42.475891
3015334,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.883965,42.461147
3015340,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.897987,42.452393
3015345,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.88089,42.461891
3015337,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.892693,42.462791
3015343,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.928993,42.445492
3015349,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.912994,42.475193
3015365,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.927292,42.458591
3015353,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.938988,42.467995
3015339,NE,Brown,31017,Ainsworth Wind Project (NPPD),-99.895393,42.451393
3034436,MA,Barnstable,25001,Air Force (Barnstable),-70.591103,41.657692
3023379,WY,Laramie,56021,Air Force (Laramie),-104.884689,41.178291
3011487,IA,Plymouth,19149,Akron-Westfield School District,-96.541191,42.829891
3046768,KS,Rush,20165,Alexander,-99.564278,38.412891
3046761,KS,Rush,20165,Alexander,-99.536957,38.45303
3046774,KS,Rush,20165,Alexander,-99.568794,38.415268
3046771,KS,Rush,20165,Alexander,-99.502907,38.430729
3046776,KS,Rush,20165,Alexander,-99.55925,38.40461
3046769,KS,Rush,20165,Alexander,-99.521271,38.420261
3046759,KS,Rush,20165,Alexander,-99.546196,38.456131
3046762,KS,Rush,20165,Alexander,-99.532227,38.453072
3046772,KS,Rush,20165,Alexander,-99.499413,38.438683
3046763,KS,Rush,20165,Alexander,-99.527443,38.450241
3046764,KS,Rush,20165,Alexander,-99.522804,38.450176
3046766,KS,Rush,20165,Alexander,-99.537079,38.4296
3046760,KS,Rush,20165,Alexander,-99.541664,38.453705
3046773,KS,Rush,20165,Alexander,-99.495369,38.441833
3046767,KS,Rush,20165,Alexander,-99.532265,38.426769
3046778,KS,Rush,20165,Alexander,-99.541283,38.41523
3046775,KS,Rush,20165,Alexander,-99.563507,38.404118
3046765,KS,Rush,20165,Alexander,-99.542793,38.435001
3072787,KS,Rush,20165,Alexander,-99.527588,38.423698
3046777,KS,Rush,20165,Alexander,-99.545891,38.414215
3046770,KS,Rush,20165,Alexander,-99.507919,38.42691
3025451,CA,Kern,06029,Alite Wind Farm,-118.335289,35.037697
3025446,CA,Kern,06029,Alite Wind Farm,-118.345291,35.035194
3025450,CA,Kern,06029,Alite Wind Farm,-118.336891,35.037193
3025453,CA,Kern,06029,Alite Wind Farm,-118.343689,35.031494
3025452,CA,Kern,06029,Alite Wind Farm,-118.344887,35.030895
3025449,CA,Kern,06029,Alite Wind Farm,-118.338486,35.036594
3025447,CA,Kern,06029,Alite Wind Farm,-118.344086,35.035896
3025448,CA,Kern,06029,Alite Wind Farm,-118.339989,35.035995
3027824,PA,Cambria,42021,Allegheny Ridge,-78.616394,40.382492
3137795,PA,Blair,42013,Allegheny Ridge,-78.542046,40.448242
3065155,PA,Cambria,42021,Allegheny Ridge,-78.564247,40.375473
3028271,PA,Cambria,42021,Allegheny Ridge,-78.592796,40.360291
3027563,PA,Cambria,42021,Allegheny Ridge,-78.558197,40.413994
3028286,PA,Cambria,42021,Allegheny Ridge,-78.587395,40.394493
3027847,PA,Cambria,42021,Allegheny Ridge,-78.627296,40.372791
3028290,PA,Cambria,42021,Allegheny Ridge,-78.568001,40.405293
3027826,PA,Cambria,42021,Allegheny Ridge,-78.622795,40.376591
3030099,PA,Blair,42013,Allegheny Ridge,-78.549095,40.393494
3030100,PA,Cambria,42021,Allegheny Ridge,-78.585693,40.396191
3030093,PA,Blair,42013,Allegheny Ridge,-78.547195,40.395191
3028287,PA,Cambria,42021,Allegheny Ridge,-78.5728,40.397491
3065153,PA,Blair,42013,Allegheny Ridge,-78.59288,40.356571
3028272,PA,Blair,42013,Allegheny Ridge,-78.596001,40.354691
3028278,PA,Cambria,42021,Allegheny Ridge,-78.616798,40.347092
3132770,PA,Cambria,42021,Allegheny Ridge,-78.623299,40.374092
3137803,PA,Blair,42013,Allegheny Ridge,-78.532928,40.440739
3137805,PA,Blair,42013,Allegheny Ridge,-78.528191,40.437119
3028266,PA,Cambria,42021,Allegheny Ridge,-78.600395,40.374893
3075588,PA,Cambria,42021,Allegheny Ridge,-78.633591,40.373264
3027825,PA,Cambria,42021,Allegheny Ridge,-78.623199,40.379593
3028284,PA,Cambria,42021,Allegheny Ridge,-78.587296,40.389294
3030098,PA,Blair,42013,Allegheny Ridge,-78.546394,40.39719
3030092,PA,Blair,42013,Allegheny Ridge,-78.554695,40.390491
3030097,PA,Blair,42013,Allegheny Ridge,-78.552498,40.392292
3028288,PA,Cambria,42021,Allegheny Ridge,-78.569794,40.39949
3028291,PA,Cambria,42021,Allegheny Ridge,-78.565201,40.406593
3028270,PA,Cambria,42021,Allegheny Ridge,-78.601295,40.354794
3028283,PA,Cambria,42021,Allegheny Ridge,-78.576195,40.375393
3030096,PA,Cambria,42021,Allegheny Ridge,-78.621201,40.381592
3028268,PA,Cambria,42021,Allegheny Ridge,-78.602898,40.37059
3028281,PA,Cambria,42021,Allegheny Ridge,-78.563995,40.377792
3028279,PA,Cambria,42021,Allegheny Ridge,-78.615799,40.340794
3028280,PA,Cambria,42021,Allegheny Ridge,-78.616096,40.338192
3028293,PA,Cambria,42021,Allegheny Ridge,-78.5812,40.37569
3028285,PA,Cambria,42021,Allegheny Ridge,-78.584198,40.390892
3028292,PA,Cambria,42021,Allegheny Ridge,-78.579498,40.384991
3028282,PA,Cambria,42021,Allegheny Ridge,-78.5709,40.375294
3027905,PA,Cambria,42021,Allegheny Ridge,-78.631393,40.375092
3028289,PA,Cambria,42021,Allegheny Ridge,-78.568001,40.401791
3030095,PA,Blair,42013,Allegheny Ridge,-78.555099,40.388092
3124562,IL,De Witt,17039,Alta Farms II,-89.079567,40.2048
3124544,IL,De Witt,17039,Alta Farms II,-89.091759,40.20594
3124548,IL,De Witt,17039,Alta Farms II,-89.118279,40.1973
3124517,IL,De Witt,17039,Alta Farms II,-89.096527,40.19482
3123121,IL,De Witt,17039,Alta Farms II,-89.099342,40.175488
3123047,IL,De Witt,17039,Alta Farms II,-89.070839,40.176174
3123038,IL,De Witt,17039,Alta Farms II,-89.055344,40.164181
3124620,IL,De Witt,17039,Alta Farms II,-89.006187,40.185902
3124631,IL,De Witt,17039,Alta Farms II,-89.054733,40.20211
3123049,IL,De Witt,17039,Alta Farms II,-89.069214,40.192074
3124629,IL,De Witt,17039,Alta Farms II,-88.988403,40.185871
3127548,IL,De Witt,17039,Alta Farms II,-88.996544,40.214691
3124630,IL,De Witt,17039,Alta Farms II,-89.045807,40.199261
3124582,IL,De Witt,17039,Alta Farms II,-89.064056,40.17667
3124608,IL,De Witt,17039,Alta Farms II,-89.10762,40.214069
3124516,IL,De Witt,17039,Alta Farms II,-89.057129,40.193069
3127537,IL,De Witt,17039,Alta Farms II,-89.007698,40.206757
3124602,IL,De Witt,17039,Alta Farms II,-89.00029,40.20208
3123048,IL,De Witt,17039,Alta Farms II,-89.078682,40.187561
3124515,IL,De Witt,17039,Alta Farms II,-89.016983,40.169998
3127447,IL,De Witt,17039,Alta Farms II,-89.001366,40.210648
3123035,IL,De Witt,17039,Alta Farms II,-89.074249,40.190155
3124556,IL,De Witt,17039,Alta Farms II,-89.116989,40.190441
3124512,IL,De Witt,17039,Alta Farms II,-89.02317,40.187801
3124600,IL,De Witt,17039,Alta Farms II,-89.069038,40.20945
3124627,IL,De Witt,17039,Alta Farms II,-89.060204,40.199551
3124527,IL,De Witt,17039,Alta Farms II,-89.114571,40.2108
3123122,IL,De Witt,17039,Alta Farms II,-89.0522,40.169193
3124645,IL,De Witt,17039,Alta Farms II,-88.982819,40.192181
3124613,IL,De Witt,17039,Alta Farms II,-88.981956,40.185459
3124533,IL,De Witt,17039,Alta Farms II,-89.014091,40.195629
3124506,IL,De Witt,17039,Alta Farms II,-89.038551,40.20298
3124526,IL,De Witt,17039,Alta Farms II,-89.1315,40.20179
3124542,IL,De Witt,17039,Alta Farms II,-89.127792,40.21434
3123069,IL,De Witt,17039,Alta Farms II,-89.072548,40.15546
3126103,IL,De Witt,17039,Alta Farms II,-89.102592,40.197399
3124634,IL,De Witt,17039,Alta Farms II,-89.040749,40.19244
3124505,IL,De Witt,17039,Alta Farms II,-89.087822,40.208599
3123013,IL,De Witt,17039,Alta Farms II,-89.059639,40.162827
3124531,IL,De Witt,17039,Alta Farms II,-89.016991,40.188999
3123050,IL,De Witt,17039,Alta Farms II,-89.107651,40.171913
3124519,IL,De Witt,17039,Alta Farms II,-89.00988,40.171749
3124640,IL,De Witt,17039,Alta Farms II,-89.132011,40.194611
3124509,IL,De Witt,17039,Alta Farms II,-89.021721,40.177349
3124624,IL,De Witt,17039,Alta Farms II,-89.045479,40.174679
3124538,IL,De Witt,17039,Alta Farms II,-89.032791,40.18811
3124615,IL,De Witt,17039,Alta Farms II,-89.12999,40.175209
3124492,IL,De Witt,17039,Alta Farms II,-89.120354,40.185669
3124530,IL,De Witt,17039,Alta Farms II,-89.026016,40.17004
3124504,IL,De Witt,17039,Alta Farms II,-88.99472,40.192791
3036483,CA,Kern,06029,Alta I,-118.386787,35.027794
3036496,CA,Kern,06029,Alta I,-118.366287,35.037796
3036470,CA,Kern,06029,Alta I,-118.360588,35.045395
3036461,CA,Kern,06029,Alta I,-118.375786,35.048294
3048561,CA,Kern,06029,Alta I,-118.37619,35.047295
3033111,CA,Kern,06029,Alta I,-118.370987,35.027596
3036511,CA,Kern,06029,Alta I,-118.361191,35.029594
3036512,CA,Kern,06029,Alta I,-118.36039,35.030296
3048556,CA,Kern,06029,Alta I,-118.391991,35.050694
3048563,CA,Kern,06029,Alta I,-118.369286,35.053295
3033112,CA,Kern,06029,Alta I,-118.367027,35.029114
3036489,CA,Kern,06029,Alta I,-118.3797,35.033554
3036520,CA,Kern,06029,Alta I,-118.355385,35.023594
